,Msg ID,RSSI,SNR
0,1,-105,-5.25
1,2,-106,-5.0
2,4,-106,-4.0
3,5,-104,-5.75
4,6,-105,-3.25
5,7,-105,-2.75
6,8,-104,-3.25
7,9,-103,-5.25
8,10,-104,-3.5
9,11,-104,-3.25
10,12,-104,-4.75
11,13,-105,-4.25
12,14,-104,-4.5
13,15,-104,-4.5
14,16,-104,-2.75
15,17,-104,-3.5
16,18,-104,-4.25
17,19,-105,-1.75
18,20,-104,-2.25
19,21,-104,-2.75
20,22,-105,-2.0
21,23,-104,-3.0
22,24,-105,-2.5
23,25,-104,-3.25
24,26,-103,-3.5
25,27,-103,-3.25
26,28,-104,-3.25
27,29,-105,-3.0
28,30,-104,-4.0
29,31,-104,-4.5
30,32,-104,-3.75
31,33,-104,-2.0
32,34,-104,-2.5
33,35,-106,-1.25
34,36,-104,-2.75
35,37,-104,-3.5
36,38,-105,-2.0
37,39,-105,-2.5
38,40,-104,-3.75
39,41,-104,-4.25
40,42,-104,-5.0
41,43,-103,-4.75
42,44,-103,-4.75
43,45,-103,-4.5
44,46,-104,-3.75
45,47,-104,-3.5
46,48,-103,-3.75
47,49,-104,-2.25
48,50,-104,-2.25
49,51,-104,-2.25
50,52,-104,-2.75
51,53,-103,-3.0
52,54,-103,-2.75
53,55,-103,-3.0
54,56,-104,-4.75
55,57,-103,-2.25
56,58,-103,-3.0
57,59,-104,-1.75
58,60,-103,-4.0
59,61,-104,-2.75
60,62,-104,-3.5
61,63,-104,-2.0
62,64,-103,-3.0
63,65,-104,-1.25
64,66,-103,-0.75
65,67,-103,-2.75
66,68,-103,-3.5
67,69,-103,-3.75
68,70,-103,-1.75
69,71,-103,-3.5
70,72,-103,-2.5
71,73,-103,-1.75
72,74,-104,-4.5
73,75,-103,-3.0
74,76,-103,-3.0
75,77,-104,-4.25
76,78,-102,-2.0
77,79,-103,-5.0
78,81,-104,-5.0
79,92,-100,-6.0
80,93,-102,-7.75
81,94,-102,-5.0
82,95,-97,-8.25
83,96,-101,-7.75
84,97,-102,-4.5
85,98,-103,-6.0
86,99,-103,-5.5
87,101,-103,-5.75
88,102,-103,-5.0
89,103,-104,-5.25
90,104,-103,-4.75
91,105,-106,-4.75
92,106,-107,-2.75
93,107,-105,-6.5
94,112,-99,-6.25
95,113,-105,-4.5
96,114,-105,-4.75
97,115,-104,-4.5
98,116,-105,-3.75
99,117,-105,-4.75
100,118,-105,-4.0
101,119,-105,-4.5
102,120,-105,-4.0
103,121,-105,-4.0
104,122,-105,-3.25
